Index,Model 01,Survey 01,Category,Title,Portion,PortionS
Taxi,650,1385.245438,Student of driving age,Student of driving age,3.30%,3.50%
Drive Alone (non-toll),0,0,Child too young for school,Child too young for school,4.60%,4.60%
Drive Alone (non-toll),0,0,Student of non-driving age,Student of non-driving age,13.10%,11.90%
Drive Alone (toll),0,0,Child too young for school,Child too young for school,4.60%,4.60%
Drive Alone (toll),0,0,Student of non-driving age,Student of non-driving age,13.10%,11.90%
School bus,0,8621.768071,Full-time worker,Full-time worker,44.00%,45.40%
School bus,0,1343.183707,Non-worker,Non-worker,13.30%,13.80%
School bus,0,708.6865517,Part-time worker,Part-time worker,10.00%,9.40%
School bus,0,233.4839381,Retired,Retired,7.90%,7.30%
School bus,0,32.31468,University student,University student,3.60%,4.10%
Shared ride 2 (toll),0,0,Child too young for school,Child too young for school,4.60%,4.60%
Shared ride 3+ (toll),0,0,Child too young for school,Child too young for school,4.60%,4.60%
Shared ride 3+ (toll),0,0,Student of driving age,Student of driving age,3.30%,3.50%
Shared ride 3+ (toll),0,0,Student of non-driving age,Student of non-driving age,13.10%,11.90%
