Index,Model 01,Survey 01,Category,Description,Title
2S,2810,9134.796843,2NW,Work trips to 2NW,2NW
2S,129035,2300.605217,2S,Work trips to 2S,2S
2S,27160,2594.245104,2SW,Work trips to 2SW,2SW
2S,1910,8775.576551,2W,Work trips to 2W,2W
2S,520,11800.88855,2WNW,Work trips to 2WNW,2WNW
2S,2875,1387.59694,2WSW,Work trips to 2WSW,2WSW
2S,18230,2790.025334,3IN,Work trips to 3IN,3IN
2S,140,3965.63619,3N,Work trips to 3N,3N
2S,50,687.5760804,3NW,Work trips to 3NW,3NW
2S,12660,1391.153097,3S,Work trips to 3S,3S
2S,12615,4287.378657,3SW,Work trips to 3SW,3SW
2S,515,962.1215152,3W,Work trips to 3W,3W
2S,170,919.3256994,3WNW,Work trips to 3WNW,3WNW
2S,760,1619.482946,3WSW,Work trips to 3WSW,3WSW
2S,40,35360.66455,4N,Work trips to 4N,4N
2S,15,3442.392019,4NW,Work trips to 4NW,4NW
2S,1695,8704.731538,4SW,Work trips to 4SW,4SW
2S,15,19570.67736,4WSW,Work trips to 4WSW,4WSW
2S,245,64983.97273,XIL,Work trips to XIL,XIL
2S,1165,13417.79248,XIN,Work trips to XIN,XIN
2SW,41190,1273.030775,1,Work trips to 1,1
2SW,1625,15523.73324,2N,Work trips to 2N,2N
2SW,1880,1786.36912,2NW,Work trips to 2NW,2NW
2SW,23660,909.7315606,2S,Work trips to 2S,2S
2SW,112725,556.9552457,2SW,Work trips to 2SW,2SW
2SW,5625,4670.497917,2W,Work trips to 2W,2W
2SW,1550,15584.38637,2WNW,Work trips to 2WNW,2WNW
2SW,13595,575.3366596,2WSW,Work trips to 2WSW,2WSW
2SW,1445,1888.475041,3IN,Work trips to 3IN,3IN
2SW,120,4894.719537,3N,Work trips to 3N,3N
2SW,115,439.5389763,3NW,Work trips to 3NW,3NW
2SW,2535,4115.857004,3S,Work trips to 3S,3S
2SW,23265,1514.91108,3SW,Work trips to 3SW,3SW
2SW,1655,36102.96761,3W,Work trips to 3W,3W
2SW,460,6258.81994,3WNW,Work trips to 3WNW,3WNW
2SW,3250,10522.79019,3WSW,Work trips to 3WSW,3WSW
2SW,35,7238.665105,4N,Work trips to 4N,4N
2SW,40,9187.275109,4NW,Work trips to 4NW,4NW
2SW,2375,70832.69359,4SW,Work trips to 4SW,4SW
2SW,30,15125.9447,4W,Work trips to 4W,4W
2SW,5,15113.77196,4WNW,Work trips to 4WNW,4WNW
2SW,160,293.0652,4WSW,Work trips to 4WSW,4WSW
2SW,145,940.3391123,XIL,Work trips to XIL,XIL
2SW,135,2172.404336,XIN,Work trips to XIN,XIN
2SW,5,684.0229,XWI,Work trips to XWI,XWI
2W,31475,3381.406891,1,Work trips to 1,1
2W,3790,9121.209425,2N,Work trips to 2N,2N
2W,13380,8275.307059,2NW,Work trips to 2NW,2NW
2W,1565,10025.29444,2S,Work trips to 2S,2S
2W,5005,107.052498,2SW,Work trips to 2SW,2SW
2W,59870,1870.563407,2W,Work trips to 2W,2W
2W,14365,1115.790577,2WNW,Work trips to 2WNW,2WNW
2W,15115,185.2127866,2WSW,Work trips to 2WSW,2WSW
2W,80,277.13025,3IN,Work trips to 3IN,3IN
2W,535,21555.34894,3N,Work trips to 3N,3N
2W,1145,8311.533661,3NW,Work trips to 3NW,3NW
2W,140,16368.40105,3S,Work trips to 3S,3S
2W,2405,3482.648478,3SW,Work trips to 3SW,3SW
2W,11255,2556.204105,3W,Work trips to 3W,3W
2W,3530,14747.31572,3WNW,Work trips to 3WNW,3WNW
2W,5920,20546.16156,3WSW,Work trips to 3WSW,3WSW
2W,145,5280.329738,4N,Work trips to 4N,4N
2W,255,350.45702,4NW,Work trips to 4NW,4NW
2W,965,376.9100738,4SW,Work trips to 4SW,4SW
2W,290,1188.144825,4W,Work trips to 4W,4W
2W,185,600.4123516,4WNW,Work trips to 4WNW,4WNW
2W,385,2290.812199,4WSW,Work trips to 4WSW,4WSW
2W,70,2703.997145,XIL,Work trips to XIL,XIL
2W,30,6418.549182,XIN,Work trips to XIN,XIN
2W,10,2122.823222,XWI,Work trips to XWI,XWI
2WNW,24755,336.6798486,1,Work trips to 1,1
2WNW,7745,2886.394702,2N,Work trips to 2N,2N
2WNW,24955,303.0175354,2NW,Work trips to 2NW,2NW
2WNW,475,1025.097708,2S,Work trips to 2S,2S
2WNW,1620,1828.790013,2SW,Work trips to 2SW,2SW
2WNW,14155,29543.4359,2W,Work trips to 2W,2W
2WNW,36820,9112.2454,2WNW,Work trips to 2WNW,2WNW
2WNW,3520,4033.116677,2WSW,Work trips to 2WSW,2WSW
2WNW,70,6261.136489,3IN,Work trips to 3IN,3IN
2WNW,975,15755.67505,3N,Work trips to 3N,3N
2WNW,1330,16496.06738,3NW,Work trips to 3NW,3NW
2WNW,35,6713.158735,3S,Work trips to 3S,3S
2WNW,625,51452.91866,3SW,Work trips to 3SW,3SW
2WNW,4735,117.11342,3W,Work trips to 3W,3W
2WNW,4185,326.4831748,3WNW,Work trips to 3WNW,3WNW
2WNW,1360,1924.876125,3WSW,Work trips to 3WSW,3WSW
2WNW,230,687.3132701,4N,Work trips to 4N,4N
2WNW,435,4498.409071,4NW,Work trips to 4NW,4NW
2WNW,205,5106.496924,4SW,Work trips to 4SW,4SW
2WNW,150,1312.595176,4W,Work trips to 4W,4W
2WNW,185,12867.15129,4WNW,Work trips to 4WNW,4WNW
2WNW,110,133.8459215,4WSW,Work trips to 4WSW,4WSW
2WNW,35,1380.006775,XIL,Work trips to XIL,XIL
2WNW,20,1316.65045,XWI,Work trips to XWI,XWI
2WSW,31825,634.2108974,1,Work trips to 1,1
2WSW,1635,264.0479752,2N,Work trips to 2N,2N
2WSW,4580,135.0663035,2NW,Work trips to 2NW,2NW
2WSW,2425,243.94663,2S,Work trips to 2S,2S
2WSW,13620,9456.31705,2SW,Work trips to 2SW,2SW
2WSW,15620,933.3125923,2W,Work trips to 2W,2W
2WSW,3505,192.43621,2WNW,Work trips to 2WNW,2WNW
2WSW,54430,11556.63662,2WSW,Work trips to 2WSW,2WSW
2WSW,145,2388.003972,3IN,Work trips to 3IN,3IN
2WSW,125,403.73417,3N,Work trips to 3N,3N
2WSW,320,277.55538,3NW,Work trips to 3NW,3NW
2WSW,235,419.86885,3S,Work trips to 3S,3S
2WSW,6145,171277.1268,3SW,Work trips to 3SW,3SW
2WSW,7095,549.10197,3W,Work trips to 3W,3W
2WSW,1310,9981.520126,3WNW,Work trips to 3WNW,3WNW
2WSW,10060,2000.796766,3WSW,Work trips to 3WSW,3WSW
2WSW,30,305.71183,4N,Work trips to 4N,4N
2WSW,65,423.8290896,4NW,Work trips to 4NW,4NW
2WSW,2020,1326.485626,4SW,Work trips to 4SW,4SW
2WSW,105,12.01479,4W,Work trips to 4W,4W
2WSW,20,557.8441019,4WNW,Work trips to 4WNW,4WNW
2WSW,385,69.75132,4WSW,Work trips to 4WSW,4WSW
2WSW,55,353.3611579,XIL,Work trips to XIL,XIL
2WSW,10,68.28675,XWI,Work trips to XWI,XWI
3IN,7800,35735.80088,1,Work trips to 1,1
3IN,155,12385.57001,2N,Work trips to 2N,2N
3IN,160,23550.01731,2NW,Work trips to 2NW,2NW
3IN,16280,5729.321059,2S,Work trips to 2S,2S
3IN,1590,2540.888926,2SW,Work trips to 2SW,2SW
3IN,95,279.1295935,2W,Work trips to 2W,2W
3IN,45,982.5717924,2WNW,Work trips to 2WNW,2WNW
3IN,135,360.2288437,2WSW,Work trips to 2WSW,2WSW
3IN,137965,587.453514,3IN,Work trips to 3IN,3IN
3IN,10,31430.9322,3N,Work trips to 3N,3N
3IN,10,9240.701461,3NW,Work trips to 3NW,3NW
3IN,12435,99.75765385,3S,Work trips to 3S,3S
3IN,2105,902.2728212,3SW,Work trips to 3SW,3SW
3IN,30,1881.205005,3W,Work trips to 3W,3W
3IN,10,1837.842723,3WNW,Work trips to 3WNW,3WNW
3IN,5,1498.123267,3WSW,Work trips to 3WSW,3WSW
3IN,5,6401.113295,4N,Work trips to 4N,4N
3IN,715,11021.813,4SW,Work trips to 4SW,4SW
3IN,210,2812.814696,XIL,Work trips to XIL,XIL
3IN,24180,117.4450479,XIN,Work trips to XIN,XIN
3N,3690,217.6140856,1,Work trips to 1,1
3N,14420,9292.902586,2N,Work trips to 2N,2N
3N,8400,6584.667739,2NW,Work trips to 2NW,2NW
3N,125,18849.36182,2S,Work trips to 2S,2S
3N,100,2193.387646,2SW,Work trips to 2SW,2SW
3N,515,767.7511357,2W,Work trips to 2W,2W
3N,740,3161.773439,2WNW,Work trips to 2WNW,2WNW
3N,120,2088.666251,2WSW,Work trips to 2WSW,2WSW
3N,5,1290.722831,3IN,Work trips to 3IN,3IN
3N,40075,616.11182,3N,Work trips to 3N,3N
3N,10075,10749.2243,3NW,Work trips to 3NW,3NW
3N,15,93545.26036,3SW,Work trips to 3SW,3SW
3N,335,1064.714725,3W,Work trips to 3W,3W
3N,1670,2358.597638,3WNW,Work trips to 3WNW,3WNW
3N,115,27989.62452,3WSW,Work trips to 3WSW,3WSW
3N,8935,6190.247549,4N,Work trips to 4N,4N
3N,10355,3845.275434,4NW,Work trips to 4NW,4NW
3N,25,28818.86417,4SW,Work trips to 4SW,4SW
3N,35,1469.804382,4W,Work trips to 4W,4W
3N,445,390.7708299,4WNW,Work trips to 4WNW,4WNW
3N,10,3306.184492,XIL,Work trips to XIL,XIL
3N,705,52.84012915,XWI,Work trips to XWI,XWI
3NW,3045,24.02958,1,Work trips to 1,1
3NW,5265,9200.534554,2N,Work trips to 2N,2N
3NW,22750,1101.030312,2NW,Work trips to 2NW,2NW
3NW,35,163.6734993,2S,Work trips to 2S,2S
3NW,90,13321.5706,2SW,Work trips to 2SW,2SW
3NW,1075,3547.923087,2W,Work trips to 2W,2W
3NW,1265,991.8598462,2WNW,Work trips to 2WNW,2WNW
3NW,265,600.4123516,2WSW,Work trips to 2WSW,2WSW
3NW,5,639.4041162,3IN,Work trips to 3IN,3IN
3NW,12115,7219.406461,3N,Work trips to 3N,3N
3NW,122915,487.4109445,3NW,Work trips to 3NW,3NW
3NW,5,72231.16845,3S,Work trips to 3S,3S
3NW,125,14627.26354,3SW,Work trips to 3SW,3SW
3NW,4525,650.3373601,3W,Work trips to 3W,3W
3NW,35230,367.5671653,3WNW,Work trips to 3WNW,3WNW
3NW,1215,4926.946557,3WSW,Work trips to 3WSW,3WSW
3NW,5295,317.1417833,4N,Work trips to 4N,4N
3NW,32780,7478.370095,4NW,Work trips to 4NW,4NW
3NW,80,181.9309619,4SW,Work trips to 4SW,4SW
3NW,585,1451.90126,4W,Work trips to 4W,4W
3NW,5235,20105.77558,4WNW,Work trips to 4WNW,4WNW
3NW,165,3230.869702,4WSW,Work trips to 4WSW,4WSW
3NW,340,2712.258952,XIL,Work trips to XIL,XIL
3NW,845,10186.45906,XWI,Work trips to XWI,XWI
3S,9780,15025.56498,1,Work trips to 1,1
3S,190,3575.647872,2N,Work trips to 2N,2N
3S,205,2444.693914,2NW,Work trips to 2NW,2NW
3S,13570,5721.357134,2S,Work trips to 2S,2S
3S,3130,1926.377428,2SW,Work trips to 2SW,2SW
3S,155,697.7995187,2W,Work trips to 2W,2W
3S,15,2069.285633,2WNW,Work trips to 2WNW,2WNW
3S,285,13625.87603,2WSW,Work trips to 2WSW,2WSW
3S,14500,65930.75578,3IN,Work trips to 3IN,3IN
3S,5,3881.590859,3NW,Work trips to 3NW,3NW
3S,64515,2844.514118,3S,Work trips to 3S,3S
3S,9655,13800.69538,3SW,Work trips to 3SW,3SW
3S,95,122.5748526,3W,Work trips to 3W,3W
3S,15,628.8584187,3WNW,Work trips to 3WNW,3WNW
3S,195,13117.40939,3WSW,Work trips to 3WSW,3WSW
3S,5660,124.4754375,4SW,Work trips to 4SW,4SW
3S,2045,477.9432859,XIL,Work trips to XIL,XIL
3S,2335,1176.729048,XIN,Work trips to XIN,XIN
3SW,11105,15335.67181,1,Work trips to 1,1
3SW,320,3781.558805,2N,Work trips to 2N,2N
3SW,1425,7596.654576,2NW,Work trips to 2NW,2NW
3SW,11010,686.2148094,2S,Work trips to 2S,2S
3SW,23590,617.079493,2SW,Work trips to 2SW,2SW
3SW,2695,7970.924598,2W,Work trips to 2W,2W
3SW,670,2897.583961,2WNW,Work trips to 2WNW,2WNW
3SW,6140,6068.753134,2WSW,Work trips to 2WSW,2WSW
3SW,2120,218.60648,3IN,Work trips to 3IN,3IN
3SW,25,1638.0317,3N,Work trips to 3N,3N
3SW,160,2878.030144,3NW,Work trips to 3NW,3NW
3SW,9205,650.3373601,3S,Work trips to 3S,3S
3SW,98345,3331.612847,3SW,Work trips to 3SW,3SW
3SW,3875,89459.93048,3W,Work trips to 3W,3W
3SW,695,18638.17325,3WNW,Work trips to 3WNW,3WNW
3SW,14560,31821.04152,3WSW,Work trips to 3WSW,3WSW
3SW,20,936.5996233,4NW,Work trips to 4NW,4NW
3SW,21600,4403.190926,4SW,Work trips to 4SW,4SW
3SW,65,2147.944358,4W,Work trips to 4W,4W
3SW,10,5163.391556,4WNW,Work trips to 4WNW,4WNW
3SW,970,2777.104618,4WSW,Work trips to 4WSW,4WSW
3SW,805,6324.861638,XIL,Work trips to XIL,XIL
3SW,265,60.48039,XIN,Work trips to XIN,XIN
3W,8075,9612.39536,1,Work trips to 1,1
3W,995,2634.308826,2N,Work trips to 2N,2N
3W,6200,13719.69864,2NW,Work trips to 2NW,2NW
3W,315,2725.190018,2S,Work trips to 2S,2S
3W,1275,1537.407206,2SW,Work trips to 2SW,2SW
3W,9955,6054.068009,2W,Work trips to 2W,2W
3W,4450,8495.187085,2WNW,Work trips to 2WNW,2WNW
3W,5730,1753.895053,2WSW,Work trips to 2WSW,2WSW
3W,30,700.7256134,3IN,Work trips to 3IN,3IN
3W,350,25658.13093,3N,Work trips to 3N,3N
3W,4145,413.4910516,3NW,Work trips to 3NW,3NW
3W,70,1951.746534,3S,Work trips to 3S,3S
3W,3315,14649.48365,3SW,Work trips to 3SW,3SW
3W,127845,77809.24746,3W,Work trips to 3W,3W
3W,30210,16105.91495,3WNW,Work trips to 3WNW,3WNW
3W,45005,1307.999087,3WSW,Work trips to 3WSW,3WSW
3W,130,15374.83218,4N,Work trips to 4N,4N
3W,1355,1267.962758,4NW,Work trips to 4NW,4NW
3W,3650,2074.379926,4SW,Work trips to 4SW,4SW
3W,7375,8900.252505,4W,Work trips to 4W,4W
3W,2615,501.7362429,4WNW,Work trips to 4WNW,4WNW
3W,5800,330.15816,4WSW,Work trips to 4WSW,4WSW
3W,840,35133.60891,XIL,Work trips to XIL,XIL
3W,5,1454.638845,XIN,Work trips to XIN,XIN
3W,15,5714.138306,XWI,Work trips to XWI,XWI
3WNW,4110,3677.364891,1,Work trips to 1,1
3WNW,3285,5297.465566,2N,Work trips to 2N,2N
3WNW,16950,10842.13926,2NW,Work trips to 2NW,2NW
3WNW,140,1908.153906,2S,Work trips to 2S,2S
3WNW,385,10159.74437,2SW,Work trips to 2SW,2SW
3WNW,3380,1578.79524,2W,Work trips to 2W,2W
3WNW,4005,935.1416105,2WNW,Work trips to 2WNW,2WNW
3WNW,1090,5609.867274,2WSW,Work trips to 2WSW,2WSW
3WNW,2025,4061.158988,3N,Work trips to 3N,3N
3WNW,33165,14811.64243,3NW,Work trips to 3NW,3NW
3WNW,10,30316.89509,3S,Work trips to 3S,3S
3WNW,515,13860.31111,3SW,Work trips to 3SW,3SW
3WNW,32010,169705.3509,3W,Work trips to 3W,3W
3WNW,142805,285.2412456,3WNW,Work trips to 3WNW,3WNW
3WNW,8075,4256.125781,3WSW,Work trips to 3WSW,3WSW
3WNW,635,22912.23993,4N,Work trips to 4N,4N
3WNW,9915,5359.792569,4NW,Work trips to 4NW,4NW
3WNW,515,1348.88279,4SW,Work trips to 4SW,4SW
3WNW,3855,29988.94222,4W,Work trips to 4W,4W
3WNW,14195,996.2023844,4WNW,Work trips to 4WNW,4WNW
3WNW,1030,377.17788,4WSW,Work trips to 4WSW,4WSW
3WNW,575,11723.47459,XIL,Work trips to XIL,XIL
3WNW,5,3329.896603,XIN,Work trips to XIN,XIN
3WNW,130,1213.438986,XWI,Work trips to XWI,XWI
3WSW,11270,875.1946546,1,Work trips to 1,1
3WSW,395,214.104996,2N,Work trips to 2N,2N
3WSW,2825,8522.185562,2NW,Work trips to 2NW,2NW
3WSW,675,2859.97185,2S,Work trips to 2S,2S
3WSW,3155,122.5748526,2SW,Work trips to 2SW,2SW
3WSW,6050,1110.232623,2W,Work trips to 2W,2W
3WSW,1595,2045.950769,2WNW,Work trips to 2WNW,2WNW
3WSW,9415,826.8499786,2WSW,Work trips to 2WSW,2WSW
3WSW,45,66212.8253,3IN,Work trips to 3IN,3IN
3WSW,110,40070.68021,3N,Work trips to 3N,3N
3WSW,1265,103.1892874,3NW,Work trips to 3NW,3NW
3WSW,140,16769.2271,3S,Work trips to 3S,3S
3WSW,16910,7147.953391,3SW,Work trips to 3SW,3SW
3WSW,46830,11430.12183,3W,Work trips to 3W,3W
3WSW,8080,1305.48895,3WNW,Work trips to 3WNW,3WNW
3WSW,239390,883.3719818,3WSW,Work trips to 3WSW,3WSW
3WSW,25,2139.179778,4N,Work trips to 4N,4N
3WSW,345,2886.394702,4NW,Work trips to 4NW,4NW
3WSW,20580,1114.493164,4SW,Work trips to 4SW,4SW
3WSW,5100,12647.31863,4W,Work trips to 4W,4W
3WSW,890,32461.23712,4WNW,Work trips to 4WNW,4WNW
3WSW,27150,307.8369462,4WSW,Work trips to 4WSW,4WSW
3WSW,1950,4158.766847,XIL,Work trips to XIL,XIL
4N,2945,14822.36346,1,Work trips to 1,1
4N,3595,5057.846664,2N,Work trips to 2N,2N
4N,2365,34994.05977,2NW,Work trips to 2NW,2NW
4N,30,296165.2733,2S,Work trips to 2S,2S
4N,10,724.107665,2SW,Work trips to 2SW,2SW
4N,90,903.3443609,2W,Work trips to 2W,2W
4N,175,12575.16144,2WNW,Work trips to 2WNW,2WNW
4N,35,2918.800315,2WSW,Work trips to 2WSW,2WSW
4N,9565,65.51746,3N,Work trips to 3N,3N
4N,4695,10586.75336,3NW,Work trips to 3NW,3NW
4N,105,125.2211413,3W,Work trips to 3W,3W
4N,505,1945.661963,3WNW,Work trips to 3WNW,3WNW
4N,25,4314.162147,3WSW,Work trips to 3WSW,3WSW
4N,66955,8339.231135,4N,Work trips to 4N,4N
4N,28090,2429.195001,4NW,Work trips to 4NW,4NW
4N,10,303.0175354,4W,Work trips to 4W,4W
4N,170,2517.768389,4WNW,Work trips to 4WNW,4WNW
4N,5,702.4839519,XIL,Work trips to XIL,XIL
4N,8885,1406.407348,XWI,Work trips to XWI,XWI
4NW,2470,1611.692308,1,Work trips to 1,1
4NW,3330,6380.118812,2N,Work trips to 2N,2N
4NW,8295,14269.14531,2NW,Work trips to 2NW,2NW
4NW,5,2078.561935,2S,Work trips to 2S,2S
4NW,20,2446.289566,2SW,Work trips to 2SW,2SW
4NW,285,24438.65977,2W,Work trips to 2W,2W
4NW,435,697.146477,2WNW,Work trips to 2WNW,2WNW
4NW,95,107521.2507,2WSW,Work trips to 2WSW,2WSW
4NW,11650,1825.947235,3N,Work trips to 3N,3N
4NW,33935,4792.28932,3NW,Work trips to 3NW,3NW
4NW,20,2652.153555,3SW,Work trips to 3SW,3SW
4NW,1720,529.9899785,3W,Work trips to 3W,3W
4NW,11910,304.1648967,3WNW,Work trips to 3WNW,3WNW
4NW,385,395.5397629,3WSW,Work trips to 3WSW,3WSW
4NW,28300,533.4464878,4N,Work trips to 4N,4N
4NW,291635,141.5286523,4NW,Work trips to 4NW,4NW
4NW,5,69.75132,4SW,Work trips to 4SW,4SW
4NW,710,370.1951943,4W,Work trips to 4W,4W
4NW,13305,5154.392169,4WNW,Work trips to 4WNW,4WNW
4NW,65,1616.501705,4WSW,Work trips to 4WSW,4WSW
4NW,6335,6026.021121,XIL,Work trips to XIL,XIL
4NW,16770,1386.986384,XWI,Work trips to XWI,XWI
4SW,5615,344.3826305,1,Work trips to 1,1
4SW,100,29332.73793,2N,Work trips to 2N,2N
4SW,380,4828.97991,2NW,Work trips to 2NW,2NW
4SW,1735,5025.583537,2S,Work trips to 2S,2S
4SW,2805,1472.531497,2SW,Work trips to 2SW,2SW
4SW,1240,239.8317582,2W,Work trips to 2W,2W
4SW,285,5252.564451,2WNW,Work trips to 2WNW,2WNW
4SW,2490,248.950875,2WSW,Work trips to 2WSW,2WSW
4SW,870,555.3920628,3IN,Work trips to 3IN,3IN
4SW,20,518.0970617,3N,Work trips to 3N,3N
4SW,75,6825.841187,3NW,Work trips to 3NW,3NW
4SW,5810,124.4754375,3S,Work trips to 3S,3S
4SW,23710,6338.347798,3SW,Work trips to 3SW,3SW
4SW,4715,10646.29279,3W,Work trips to 3W,3W
4SW,625,3849.564416,3WNW,Work trips to 3WNW,3WNW
4SW,24660,83.43926532,3WSW,Work trips to 3WSW,3WSW
4SW,5,13373.92457,4NW,Work trips to 4NW,4NW
4SW,121805,4168.429806,4SW,Work trips to 4SW,4SW
4SW,300,39777.81242,4W,Work trips to 4W,4W
4SW,20,241.9204854,4WNW,Work trips to 4WNW,4WNW
4SW,2565,3311.818621,4WSW,Work trips to 4WSW,4WSW
4SW,8105,173.094136,XIL,Work trips to XIL,XIL
4SW,125,295.2819447,XIN,Work trips to XIN,XIN
4W,1010,1332.635352,1,Work trips to 1,1
4W,55,185.2127866,2N,Work trips to 2N,2N
4W,565,1643.325092,2NW,Work trips to 2NW,2NW
4W,35,1517.682121,2SW,Work trips to 2SW,2SW
4W,330,68.28675,2W,Work trips to 2W,2W
4W,215,418.8090964,2WNW,Work trips to 2WNW,2WNW
4W,120,469.3328124,2WSW,Work trips to 2WSW,2WSW
4W,45,556.7878212,3N,Work trips to 3N,3N
4W,730,7598.952822,3NW,Work trips to 3NW,3NW
4W,70,591.8659652,3SW,Work trips to 3SW,3SW
4W,7895,30126.0181,3W,Work trips to 3W,3W
4W,3980,1608.350196,3WNW,Work trips to 3WNW,3WNW
4W,5020,1750.609642,3WSW,Work trips to 3WSW,3WSW
4W,515,5379.496346,4NW,Work trips to 4NW,4NW
4W,250,3888.197733,4SW,Work trips to 4SW,4SW
4W,40420,44793.19193,4W,Work trips to 4W,4W
4W,5450,248.950875,4WNW,Work trips to 4WNW,4WNW
4W,8780,270.1326069,4WSW,Work trips to 4WSW,4WSW
4W,2990,181.9309619,XIL,Work trips to XIL,XIL
4WNW,580,1126.080563,1,Work trips to 1,1
4WNW,410,317.1417833,2N,Work trips to 2N,2N
4WNW,1920,5616.043021,2NW,Work trips to 2NW,2NW
4WNW,15,248.950875,2SW,Work trips to 2SW,2SW
4WNW,235,20652.30277,2W,Work trips to 2W,2W
4WNW,260,30.00806,2WNW,Work trips to 2WNW,2WNW
4WNW,35,3403.77736,2WSW,Work trips to 2WSW,2WSW
4WNW,575,188.86356,3N,Work trips to 3N,3N
4WNW,6395,196.33273,3NW,Work trips to 3NW,3NW
4WNW,10,1736.36334,3SW,Work trips to 3SW,3SW
4WNW,3025,1420.48595,3W,Work trips to 3W,3W
4WNW,15435,117.88124,3WNW,Work trips to 3WNW,3WNW
4WNW,995,72.90164,3WSW,Work trips to 3WSW,3WSW
4WNW,220,193.04109,4N,Work trips to 4N,4N
