Index,Model 01,Survey 01,Category,Description,Title,Portion
Escort,290045,375348,Preschool,temp1,Preschool,4.7%
Shop,280875,128153,Student under 16 years,temp1,Student under 16 years,13.1%
Discretionary,277090,322042,Non worker,temp1,Non worker,13.3%
Maintenance,273500,352098,Part-time Worker,temp1,Part-time Worker,10.0%
Eating Out,251735,220828,Non worker,temp1,Non worker,13.3%
Eating Out,250865,184260,Non-working senior,temp1,Non-working senior,7.9%
Maintenance,237535,181022,Student under 16 years,temp1,Student under 16 years,13.1%
Visiting,188765,227356,Student under 16 years,temp1,Student under 16 years,13.1%
Work,188215,121538,University Student,temp1,University Student,3.6%
Work-based,183705,107644,Part-time Worker,temp1,Part-time Worker,10.0%
Eating Out,182295,87964,Student under 16 years,temp1,Student under 16 years,13.1%
Visiting,178735,169848,Non-working senior,temp1,Non-working senior,7.9%
Shop,171165,63202,Preschool,temp1,Preschool,4.7%
Escort,168490,243647,Student under 16 years,temp1,Student under 16 years,13.1%
Discretionary,162895,161909,Part-time Worker,temp1,Part-time Worker,10.0%
Escort,160000,210490,Non-working senior,temp1,Non-working senior,7.9%
Eating Out,149375,134439,Part-time Worker,temp1,Part-time Worker,10.0%
Discretionary,136265,127849,Preschool,temp1,Preschool,4.7%
Maintenance,132505,109865,Preschool,temp1,Preschool,4.7%
Escort,118300,162544,University Student,temp1,University Student,3.6%
Visiting,99385,112216,Part-time Worker,temp1,Part-time Worker,10.0%
Visiting,92150,76561,Preschool,temp1,Preschool,4.7%
Escort,77995,77772,Student 16+,temp1,Student 16+,3.3%
Eating Out,76010,48466,Preschool,temp1,Preschool,4.7%
Shop,72405,122441,University Student,temp1,University Student,3.6%
Maintenance,52245,134052,University Student,temp1,University Student,3.6%
Visiting,51940,87074,Student 16+,temp1,Student 16+,3.3%
Discretionary,50235,131903,Student 16+,temp1,Student 16+,3.3%
Eating Out,47915,51506,Student 16+,temp1,Student 16+,3.3%
Shop,43705,64412,Student 16+,temp1,Student 16+,3.3%
Eating Out,41280,65935,University Student,temp1,University Student,3.6%
Discretionary,41070,82476,University Student,temp1,University Student,3.6%
Work,38545,41348,Student 16+,temp1,Student 16+,3.3%
Maintenance,38415,54124,Student 16+,temp1,Student 16+,3.3%
University,32425,79719,Full-time Worker,temp1,Full-time Worker,44.0%
Visiting,32005,93454,University Student,temp1,University Student,3.6%
Work-based,31405,17038,University Student,temp1,University Student,3.6%
Work-based,3310,2359,Student 16+,temp1,Student 16+,3.3%
School,0,0,Full-time Worker,temp1,Full-time Worker,44.0%
School,0,0,Non worker,temp1,Non worker,13.3%
University,0,0,Non worker,temp1,Non worker,13.3%
Work,0,0,Non worker,temp1,Non worker,13.3%
Work-based,0,0,Non worker,temp2,Non worker,13.3%
School,0,0,Non-working senior,temp1,Non-working senior,7.9%
University,0,0,Non-working senior,temp1,Non-working senior,7.9%
Work,0,0,Non-working senior,temp1,Non-working senior,7.9%
Work-based,0,0,Non-working senior,temp1,Non-working senior,7.9%
School,0,0,Part-time Worker,temp1,Part-time Worker,10.0%
University,0,0,Part-time Worker,temp1,Part-time Worker,10.0%
University,0,0,Preschool,temp1,Preschool,4.7%
Work,0,0,Preschool,temp1,Preschool,4.7%
Work-based,0,0,Preschool,temp1,Preschool,4.7%
University,0,0,Student 16+,temp1,Student 16+,3.3%
University,0,0,Student under 16 years,temp1,Student under 16 years,13.1%
Work,0,0,Student under 16 years,temp1,Student under 16 years,13.1%
Work-based,0,0,Student under 16 years,temp1,Student under 16 years,13.1%
School,0,0,University Student,temp1,University Student,3.6%
