Date,Chrome,IE/Edge,Firefox,Safari,Opera
Feb-12,36.30,19.50,37.10,4.50,2.30
Jan-12,35.30,20.10,37.20,4.30,2.40
Dec-11,34.60,20.20,37.70,4.20,2.50
Nov-11,33.40,21.20,38.10,4.20,2.40
Oct-11,32.30,21.70,38.70,4.20,2.40
Sep-11,30.50,22.90,39.70,4.00,2.20
Aug-11,30.30,22.40,40.60,3.80,2.30
Jul-11,29.40,22.00,42.00,3.60,2.40
Jun-11,27.90,23.20,42.20,3.70,2.40
May-11,25.90,24.90,42.40,4.00,2.40
Apr-11,25.60,24.30,42.90,4.10,2.60
Mar-11,25.00,25.80,42.20,4.00,2.50
Feb-11,24.10,26.50,42.40,4.10,2.50
Jan-11,23.80,26.60,42.80,4.00,2.50
Dec-10,22.40,27.50,43.50,3.80,2.20
Nov-10,20.50,28.60,44.00,4.00,2.30
Oct-10,19.20,29.70,44.10,3.90,2.20
Sep-10,17.30,31.10,45.10,3.70,2.20
Aug-10,17.00,30.70,45.80,3.50,2.30
Jul-10,16.70,30.40,46.40,3.40,2.30
Jun-10,15.90,31.00,46.60,3.60,2.10
May-10,14.50,32.20,46.90,3.50,2.20
Apr-10,13.60,33.40,46.40,3.70,2.20
Mar-10,12.30,34.90,46.20,3.70,2.20
Feb-10,11.60,35.30,46.50,3.80,2.10
Jan-10,10.80,36.20,46.30,3.70,2.20
Dec-09,9.80,37.20,46.40,3.60,2.30
Nov-09,8.50,37.70,47.00,3.80,2.30
Oct-09,8.00,37.50,47.50,3.80,2.30
Sep-09,7.10,39.60,46.60,3.60,2.20
Aug-09,7.00,39.30,47.40,3.30,2.10
Jul-09,6.50,39.40,47.90,3.30,2.10
Jun-09,6.00,40.70,47.30,3.10,2.10
May-09,5.50,41.00,47.70,3.00,2.20
Apr-09,4.90,42.10,47.10,3.00,2.20
Mar-09,4.20,43.30,46.50,3.10,2.30
Feb-09,4.00,43.60,46.40,3.00,2.20
Jan-09,3.90,44.80,45.50,3.00,2.30
Dec-08,3.60,46.00,44.40,2.70,2.40
Nov-08,3.10,47.00,44.20,2.70,2.30
Oct-08,3.00,47.40,44.00,2.80,2.20
Sep-08,3.10,49.00,42.60,2.70,2.00
Aug-08,,51.00,43.70,2.60,2.10
Jul-08,,52.40,42.60,2.50,1.90
Jun-08,,54.20,41.00,2.60,1.70
May-08,,54.40,39.80,2.40,1.50
Apr-08,,54.80,39.10,2.20,1.40
Mar-08,,53.90,37.00,2.10,1.40
Feb-08,,54.70,36.50,2.00,1.40
Jan-08,,54.70,36.40,1.90,1.40
